ID,SKU,Type,Product Title,Description,Main Category,Sub-Category,Sub-Category,  Price  ,Unit,Images,Visibility in Catalog
F45,F2525,simple,Japanese A5 Wagyu Bless Beef Ribeye,Japanese A5 Wagyu Bless Beef Ribeye,Freezer,Kobe Beef,Freezer>Kobe Beef,$620.00,Kgs.,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2525.jpg,visible
F45,F2521,simple,Hanging Tender,Hanging Tender,Freezer,Kobe Beef,Freezer>Kobe Beef,$130.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2521.jpg,visible
F45,F2520,simple,WAGYU 10+ B`less Short Rib,WAGYU 10+ B`less Short Rib,Freezer,Kobe Beef,Freezer>Kobe Beef,$99.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2520.jpg,visible
F35,F252,simple,Guinea Fowl,Guinea Fowl,Freezer,Poultry,Freezer>Poultry,$87.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F252.jpg,visible
F45,F2517,simple,Wagyu 10+ Beef Tenderloin,Wagyu 10+ Beef Tenderloin,Freezer,Kobe Beef,Freezer>Kobe Beef,$345.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2517.jpg,visible
F45,F2514,simple,Kobe Wagyl Tenderloin,Kobe Wagyl Tenderloin,Freezer,Kobe Beef,Freezer>Kobe Beef,$750.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2514.jpg,visible
F45,F2513,simple,Kobe Striploin Split Japanese A.5,Kobe Striploin Split Japanese A.5,Freezer,Kobe Beef,Freezer>Kobe Beef,$695.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2513.jpg,visible
F35,F251,simple,Pheasants,Pheasants,Freezer,Poultry,Freezer>Poultry,$145.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F251.jpg,visible
F35,F250,simple,Quails,Quails,Freezer,Poultry,Freezer>Poultry,$240.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F250.jpg,visible
F50,F2441,simple,Golden Bowl Moo Shu Wrapper 22 x 12 ct,Golden Bowl Moo Shu Wrapper 22 x 12 ct,Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$180.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2441.jpg,visible
F35,F238,simple,Duck Fat,Duck Fat,Freezer,Poultry,Freezer>Poultry,$42.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F238.jpg,visible
H05,F2335,simple,Smithfield Cream Cheese 10 x 3 lb,Smithfield Cream Cheese 10 x 3 lb,Fromagerie,Cheeses,Fromagerie>Cheeses,$290.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2335.jpg,visible
